,Type,Rating,Effects,thc_max,cbd_max,high_thc,balanced,high_cbd,Focused,Giggly,Creative,Uplifted,Talkative,Happy,Energetic,Euphoric,Tingly,None,Relaxed,Hungry,Sleepy,Aroused,sativa,indica,hybrid
1242,hybrid,5.0,"['Euphoric', 'Hungry', 'Relaxed', 'Uplifted', 'Happy']",21.77262222222222,0.029444444444444447,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
357,hybrid,4.1,"['Sleepy', 'Relaxed']",23.826276666666665,0.25306740740740746,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
473,hybrid,4.3,"['Focused', 'Uplifted', 'Energetic', 'Euphoric', 'Relaxed']",23.165920512820513,0.12132284615384616,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
414,hybrid,4.1,"['Relaxed', 'Happy', 'Hungry', 'Sleepy', 'Euphoric']",14.7197,0.2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1
4,hybrid,4.5,"['Relaxed', 'Euphoric', 'Sleepy', 'Happy', 'Talkative']",29.89750943055555,0.1423791111111111,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1
264,hybrid,3.3,"['Tingly', 'Uplifted', 'Relaxed', 'Aroused', 'Creative']",29.592031764705883,0.2676647058823529,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1
988,hybrid,4.8,"['Relaxed', 'Uplifted', 'Euphoric', 'Hungry', 'Happy']",38.657387333333325,0.4992363333333334,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
1175,hybrid,4.4,"['Happy', 'Relaxed', 'Tingly', 'Sleepy', 'Uplifted']",33.01559325925924,0.26373770370370364,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
678,hybrid,4.1,"['Energetic', 'Happy', 'Focused', 'Giggly', 'Relaxed']",30.606976923076925,0.28782307692307685,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
560,hybrid,4.8,"['Relaxed', 'Euphoric', 'Uplifted', 'Talkative', 'Happy']",24.565516666666667,0.07600666666666667,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1
128,hybrid,4.7,"['Euphoric', 'Creative', 'Hungry', 'Relaxed', 'Happy']",26.479758571428572,0.3808371428571429,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1
259,hybrid,4.6,"['Happy', 'Euphoric', 'Relaxed', 'Sleepy', 'Focused']",31.943349473684208,1.1779373684210526,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
71,hybrid,4.2,"['Talkative', 'Uplifted', 'Hungry', 'Tingly', 'Focused']",28.482526428571425,0.7300000000000001,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
146,hybrid,4.2,"['Happy', 'Relaxed', 'Uplifted', 'Energetic', 'Focused']",26.107666666666663,0.11500000000000003,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1
279,hybrid,4.3,"['Focused', 'Talkative', 'Happy', 'Uplifted', 'Relaxed']",20.777818791208787,0.2067034285714285,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
848,hybrid,4.7,"['Relaxed', 'Euphoric', 'Uplifted', 'Focused', 'Creative']",37.25807595959598,0.16908560606060594,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
94,hybrid,4.2,"['Creative', 'Uplifted', 'Energetic', 'Euphoric', 'Relaxed']",35.78889861904763,0.7736154761904752,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1
148,hybrid,4.4,"['Relaxed', 'Euphoric', 'Uplifted', 'Happy', 'Creative']",26.300953738515894,0.33684122614841,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
818,hybrid,4.2,"['Uplifted', 'Happy', 'Relaxed', 'Energetic', 'Creative']",24.817926893203882,0.2946597087378641,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1
1012,hybrid,4.7,"['Relaxed', 'Sleepy', 'Euphoric']",15.120816666666665,21.0014,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
303,hybrid,4.6,"['Energetic', 'Relaxed', 'Euphoric', 'Uplifted', 'Happy']",20.19248888888889,0.11693333333333333,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
710,hybrid,4.6,"['Energetic', 'Euphoric', 'Uplifted', 'Focused', 'Relaxed']",19.85581380952381,0.07489666666666668,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
408,hybrid,4.2,"['Relaxed', 'Sleepy', 'Hungry', 'Happy', 'Creative']",36.37498000000001,0.5640000000000001,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
596,hybrid,4.7,"['Happy', 'Euphoric', 'Relaxed', 'Giggly', 'Energetic']",35.82209,0.1342375,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
195,hybrid,4.5,"['Relaxed', 'Sleepy', 'Hungry', 'Happy', 'Euphoric']",29.6792395,0.07734289999999999,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1
140,hybrid,4.1,"['Happy', 'Relaxed', 'Giggly', 'Euphoric', 'Aroused']",30.120234878048773,0.19046623780487795,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
1028,hybrid,4.2,"['Happy', 'Uplifted', 'Energetic', 'Relaxed', 'Sleepy']",18.95075,0.249625,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
103,hybrid,4.4,"['Euphoric', 'Happy', 'Relaxed', 'Energetic', 'Uplifted']",24.647120555555553,0.3386016666666667,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
545,hybrid,4.4,"['Energetic', 'Focused', 'Talkative', 'Euphoric', 'Uplifted']",23.251946904761912,0.1724802380952381,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
1300,hybrid,4.3,"['Happy', 'Euphoric', 'Relaxed', 'Uplifted', 'Creative']",26.037097289377293,0.18815129487179508,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
85,hybrid,5.0,"['Euphoric', 'Relaxed']",13.059803666666667,0.33899999999999997,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
929,hybrid,4.1,"['Happy', 'Energetic', 'Uplifted', 'Relaxed', 'Focused']",19.1324325,1.7612249999999996,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1
